system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EndDate,PointIndex,StartDate,VH,VV,angle,coordinates,elevation,fc,landcover,ssm,.geo
00000000000000000000_13,1893.101551,19.33333333,3170.926455,2577.823045,1826.251448,1909.082852,2240.558917,2395.720351,2663.02315,2797.632052,2699.316108,2910.269588,1155.554111,2019-05-21T00:00:00,13,2019-05-11T00:00:00,-22.75336763,-12.58913589,37.75600222,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.35993576,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_14,1809.106057,20.86093059,2954.531925,2365.569293,1827.197817,1888.30279,2192.879179,2306.588819,2540.562908,2715.03557,2603.987145,2772.541294,946.5365219,2019-05-31T00:00:00,14,2019-05-21T00:00:00,-20.67991211,-11.47815208,37.75810151,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.83822751,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_15,1972.706979,16.67383676,3371.743816,2739.881232,1932.632876,2029.242161,2395.659717,2530.809735,2785.668732,2959.607633,2855.412698,3086.812547,1067.985118,2019-06-10T00:00:00,15,2019-05-31T00:00:00,-20.53390082,-12.85500188,43.10672791,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.464865923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_16,1921.60714,14.86093059,3336.478915,2699.434613,1881.828699,1990.248874,2360.456752,2479.438615,2688.327325,2873.453288,2770.47791,3025.66044,1023.748375,2019-06-20T00:00:00,16,2019-06-10T00:00:00,-17.71106629,-10.93527003,37.76039414,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.430468321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_17,1927.969153,24.57395373,3359.550854,2740.28325,1889.456276,2008.118575,2406.78568,2539.881034,2735.363656,2886.934464,2808.771706,3028.607748,1304.648991,2019-06-30T00:00:00,17,2019-06-20T00:00:00,-17.75229042,-10.95092225,37.75875001,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419047594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_18,1972.675505,37.66666667,3403.980933,2753.231985,1941.913379,2055.849108,2466.94088,2576.6013,2760.887571,2919.413697,2821.203589,3059.658578,1154.293649,2019-07-10T00:00:00,18,2019-06-30T00:00:00,-17.52634494,-9.413547153,35.08238641,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419072628,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_19,1974.337796,25.35430205,3475.721887,2835.099283,1942.858342,2063.017312,2492.6202,2624.938647,2774.710438,2929.624854,2852.735667,3072.15171,1301.597674,2019-07-20T00:00:00,19,2019-07-10T00:00:00,-17.65312237,-9.800484543,37.7565935,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419047594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20,3930.561945,137.2313349,2868.529822,2413.811623,3879.196967,3831.105286,4221.037973,4303.52302,4432.571898,4579.67172,4459.962033,4705.315318,2201.532484,2019-07-30T00:00:00,20,2019-07-20T00:00:00,-17.71938772,-10.47221465,37.75895982,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.498703718,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_21,1937.566216,37.9303398,3147.365135,2521.479524,1879.084444,1956.204903,2336.202075,2389.699891,2534.922502,2703.159755,2586.115347,2845.905215,902.4722311,2019-08-09T00:00:00,21,2019-07-30T00:00:00,-16.98179364,-11.05905833,43.10875613,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.547027349,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_22,1931.498375,17.35430205,3400.991409,2767.02139,1893.778946,2004.369817,2437.907408,2551.797637,2684.254142,2843.932588,2760.299614,2972.066838,1259.859306,2019-08-19T00:00:00,22,2019-08-09T00:00:00,-18.0355437,-10.23428438,36.27225788,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.633768559,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_23,1959.783143,30.1804653,3395.049052,2739.362994,1915.643198,2022.643535,2446.03962,2548.119902,2677.767385,2838.859806,2748.035865,2984.365335,1172.985118,2019-08-29T00:00:00,23,2019-08-19T00:00:00,-17.30987277,-10.79678625,37.64122041,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.763973236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_24,1911.872563,15.25,3310.844795,2596.199963,1867.379876,1962.12671,2375.259411,2429.558605,2568.937652,2743.544184,2606.926616,2889.852548,798.5827918,2019-09-08T00:00:00,24,2019-08-29T00:00:00,-17.53756821,-10.33363998,37.75815371,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.714933395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_25,1951.074539,39.71685731,3128.52131,2523.229226,1847.032006,1906.187976,2280.47218,2391.066643,2490.159105,2613.604053,2513.701912,2728.058153,1292.38582,2019-09-18T00:00:00,25,2019-09-08T00:00:00,-17.70910495,-10.3999277,37.64027436,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.581790447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_26,1920.960315,22.33333333,3276.283817,2622.565302,1842.849489,1914.297686,2321.74394,2423.432916,2569.322788,2721.242562,2618.043289,2849.79556,1148.843254,2019-09-28T00:00:00,26,2019-09-18T00:00:00,-17.9557079,-10.53815343,37.64431556,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.64680028,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_27,1860.074539,31.20860411,3178.175312,2578.759961,1800.789277,1876.98895,2280.294235,2405.625168,2509.798918,2642.669363,2582.502105,2778.357967,1299.748375,2019-10-08T00:00:00,27,2019-09-28T00:00:00,-18.37852013,-10.87712055,37.45958234,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.490545034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_28,1914.878607,126.0750368,2878.539313,2389.017972,1785.593585,1819.054976,2166.722768,2274.40685,2374.666563,2479.030399,2436.58861,2618.816001,1414.297981,2019-10-18T00:00:00,28,2019-10-08T00:00:00,-17.66759221,-10.70024426,37.63999589,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419047594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_29,1858.243371,21.46523265,3120.069912,2517.404921,1791.812741,1859.252762,2249.627064,2350.779925,2470.148009,2608.223227,2528.072996,2725.024107,1154.855927,2019-10-28T00:00:00,29,2019-10-18T00:00:00,-18.0521033,-10.67701134,37.64170487,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419047594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_30,1874.365934,64.60430205,3083.896146,2526.141045,1803.335081,1857.911819,2237.294767,2357.319234,2468.516681,2593.942553,2549.175688,2700.675591,1546.278139,2019-11-07T00:00:00,30,2019-10-28T00:00:00,-17.17998878,-9.996870082,37.76020866,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.4296031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_31,1954.325756,79.47284148,3066.454528,2487.252673,1870.25729,1904.593322,2289.672596,2403.598304,2478.331413,2632.256289,2578.940721,2746.627521,1350.373953,2019-11-17T00:00:00,31,2019-11-07T00:00:00,-18.28654401,-10.55882751,37.64028343,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.419047594,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_32,1948.344424,20.0695347,2962.845411,2351.263928,1800.238216,1784.719772,2131.213704,2237.812619,2352.121284,2497.193459,2387.856007,2627.230692,1049.360931,2019-11-27T00:00:00,32,2019-11-17T00:00:00,-21.17730809,-12.23951385,37.63822731,"[-116.02250000000002, 36.624]",-2,14.75700985,52,6.290539742,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_33,1987.16775,27.04635647,2598.896413,2170.515742,1855.769418,1755.448194,2012.296704,2073.934877,2158.995798,2290.131641,2213.364652,2394.545344,877.4678971,2019-12-07T00:00:00,33,2019-11-27T00:00:00,-24.22889714,-12.85970749,37.45969988,"[-116.02250000000002, 36.624]",-2,14.75700985,52,13.71630001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_34,1863.539771,118.9867429,2196.422131,1842.794594,1745.742391,1637.146198,1815.346318,1929.400916,1992.637441,2089.963256,2079.171231,2165.837083,1101.374188,2019-12-17T00:00:00,34,2019-12-07T00:00:00,-22.79214654,-12.32863387,37.63893303,"[-116.02250000000002, 36.624]",-2,14.75700985,52,11.47745514,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_35,2033.95373,111.7351183,2927.884285,2424.70077,1888.841216,1833.49784,2162.334026,2314.601279,2441.806867,2534.834872,2462.733938,2630.652823,1473.374188,2019-12-27T00:00:00,35,2019-12-17T00:00:00,-22.74651117,-12.34484016,37.63974556,"[-116.02250000000002, 36.624]",-2,14.75700985,52,8.069857597,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_36,1936.036561,97.30216467,2444.050312,2017.349512,1761.667215,1655.138237,1889.711268,1978.934789,2108.751738,2198.631406,2107.208984,2262.51774,952.0665148,2020-01-06T00:00:00,36,2019-12-27T00:00:00,-22.73506031,-12.91589844,37.76119024,"[-116.02250000000002, 36.624]",-2,14.75700985,52,6.504060268,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_37,1934.859306,43.32616324,2814.931455,2349.510709,1801.16568,1738.915187,2045.12068,2173.576575,2288.955462,2390.031385,2327.387503,2480.795054,1202.215233,2020-01-16T00:00:00,37,2020-01-06T00:00:00,-22.60643128,-12.61512303,37.63911995,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.785674572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_38,2006.631314,80.17658782,2883.603354,2418.979207,1865.123075,1824.870846,2150.580318,2287.947461,2403.29061,2527.445756,2429.125074,2616.088831,1207.222944,2020-01-26T00:00:00,38,2020-01-16T00:00:00,-21.55837708,-12.65352085,37.64024075,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.720183372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_39,1890.136903,50,2878.701031,2389.70069,1802.832772,1771.801353,2101.661467,2225.916997,2342.928661,2431.236405,2396.03095,2531.012096,1178.017676,2020-02-05T00:00:00,39,2020-01-26T00:00:00,-22.11815237,-12.80620944,37.24702619,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.591977358,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_40,1903.90733,54.63906941,2833.135406,2354.502309,1810.740991,1778.227477,2093.976636,2216.635611,2342.106357,2430.230033,2387.4948,2521.502872,1230.221861,2020-02-15T00:00:00,40,2020-02-05T00:00:00,-20.98841996,-11.98093119,37.56243115,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.443336487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_41,1929.757213,88.34217138,2816.979412,2351.452548,1826.528047,1818.030314,2115.59335,2223.912152,2345.900048,2454.198913,2403.053537,2548.413151,1255.611472,2020-02-25T00:00:00,41,2020-02-15T00:00:00,-20.31908812,-11.99142182,37.56562144,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.170341015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_42,1912.858764,30.57395373,3012.068427,2534.777346,1824.504908,1844.520734,2167.58106,2308.308085,2437.823152,2542.027354,2493.550953,2644.195217,1284.185426,2020-03-06T00:00:00,42,2020-02-25T00:00:00,-23.31988334,-12.15667828,40.75755308,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.722419262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_43,2217.283598,19.27813881,2100.263415,1681.546336,1755.764986,1630.349953,1753.899176,1877.851507,2013.924142,2173.784044,1807.369852,2281.967854,782.3036138,2020-03-16T00:00:00,43,2020-03-06T00:00:00,-21.01228618,-11.53748424,37.56544094,"[-116.02250000000002, 36.624]",-2,14.75700985,52,6.425160408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_44,1920.427216,15,3044.785716,2523.785579,1831.159068,1865.456396,2159.334136,2328.316475,2497.691297,2667.883336,2558.112501,2753.425352,1065.192098,2020-03-26T00:00:00,44,2020-03-16T00:00:00,-23.17633318,-12.57529444,37.56471423,"[-116.02250000000002, 36.624]",-2,14.75700985,52,9.762760162,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_45,1984.321159,175.304653,2720.163985,2284.415231,1866.913754,1897.574982,2149.561178,2303.395787,2493.461058,2615.093503,2518.467709,2694.336973,1273.238368,2020-04-05T00:00:00,45,2020-03-26T00:00:00,-21.02295607,-12.91484897,37.25106785,"[-116.02250000000002, 36.624]",-2,14.75700985,52,6.474496841,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_46,1871.539771,30.5,2995.988765,2490.990163,1789.080974,1851.192823,2127.465048,2346.938755,2574.261326,2696.925979,2630.056913,2820.130581,1318.082792,2020-04-15T00:00:00,46,2020-04-05T00:00:00,-21.84722218,-12.10657057,37.56608491,"[-116.02250000000002, 36.624]",-2,14.75700985,52,9.31536293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_47,1915.998375,67.10430205,2757.669334,2260.925404,1815.04665,1839.669922,2071.233606,2238.815589,2480.411232,2612.566427,2532.114645,2706.820527,1130.783143,2020-04-25T00:00:00,47,2020-04-15T00:00:00,-21.73589047,-12.03668201,36.32222308,"[-116.02250000000002, 36.624]",-2,14.75700985,52,5.23254776,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_48,1885.692098,53.56290616,3042.094148,2484.953052,1810.008171,1890.351654,2168.90125,2353.391623,2576.796998,2754.328474,2642.819115,2869.401699,1147.513257,2020-05-05T00:00:00,48,2020-04-25T00:00:00,-19.22282682,-11.1343647,37.78222134,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.026989937,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_49,1892.122563,27.17383676,3187.973256,2616.353673,1838.87156,1926.70092,2259.768141,2434.683943,2645.121599,2812.871033,2734.919144,2948.523309,1332.082792,2020-05-15T00:00:00,49,2020-05-05T00:00:00,-18.12440853,-11.65235797,37.56722622,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.456633806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_50,1938.450351,31.53476735,3330.130309,2701.03603,1881.433383,1972.202169,2339.387771,2506.201645,2721.831196,2891.891287,2787.777235,3011.021261,1290.624188,2020-05-25T00:00:00,50,2020-05-15T00:00:00,-18.07154524,-11.2873782,37.56762677,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.459493637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_51,1922.652326,16.36093059,3328.063701,2667.236655,1889.883725,1984.795727,2363.983919,2505.484833,2713.729374,2889.524912,2739.159305,3003.156869,1130.413959,2020-06-04T00:00:00,51,2020-05-25T00:00:00,-17.25065107,-11.76344394,37.25283598,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.474220037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_52,1954.145698,59.23674292,3193.80519,2608.227529,1888.509938,1977.392737,2347.349198,2485.404793,2641.024512,2806.468395,2694.978669,2930.431231,1294.923837,2020-06-14T00:00:00,52,2020-06-04T00:00:00,-17.76949787,-10.83175216,37.56617454,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.444941759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_53,1958.622563,20.4304653,3432.092683,2787.076857,1931.341163,2043.813478,2458.785085,2613.653688,2735.60805,2906.333525,2826.555679,3045.007537,1319.372563,2020-06-24T00:00:00,53,2020-06-14T00:00:00,-17.37153457,-10.96152107,37.56478671,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.421689272,"{""type"":""MultiPoint"",""coordinates"":[]}"
